row_num,reference,cargo_type,quantity,quantity_unit,quantity_teu,issue,suggestion
11203,CN2507013-A,AIR,5920 / 11840,KG,,"Quantity列含非数字值: ""5920 / 11840""",非法数量值，建议置为 NULL
11329,CN2507136-A,AIR,1150 / 1437.5,KG,,"Quantity列含非数字值: ""1150 / 1437.5""",非法数量值，建议置为 NULL
11399,CN2507204-A,AIR,2060 / 1485 / 495,KG,,"Quantity列含非数字值: ""2060 / 1485 / 495""",非法数量值，建议置为 NULL
11541,CN2507342-A,AIR,65 / 150,KG,,"Quantity列含非数字值: ""65 / 150""",非法数量值，建议置为 NULL
11735,CN2507523-AS1,LCL,-,KG,,"Quantity列含非数字值: ""-""",非法数量值，建议置为 NULL
11880,CN2507664-S,LCL,4156.08/1817.36,KG,,"Quantity列含非数字值: ""4156.08/1817.36""",非法数量值，建议置为 NULL
12069,CN2508147-A,AIR,200 / 500,KG,,"Quantity列含非数字值: ""200 / 500""",非法数量值，建议置为 NULL
12229,CN2508298-A,AIR,563.4 / 96.8,KG,,"Quantity列含非数字值: ""563.4 / 96.8""",非法数量值，建议置为 NULL
12236,CN2508304-S,FCL,20GP,1.0,,"Quantity列含非数字值: ""20GP""",非法数量值，建议置为 NULL
12468,CN2508528-AS,AIR,"348/696/1,044/1,392",KG,,"Quantity列含非数字值: ""348/696/1,044/1,392""",非法数量值，建议置为 NULL
12469,CN2508528-AS1,LCL,"348/696/1,044/1,392",KG,,"Quantity列含非数字值: ""348/696/1,044/1,392""",非法数量值，建议置为 NULL
12480,CN2508539-S,LCL,-,KG,,"Quantity列含非数字值: ""-""",非法数量值，建议置为 NULL
12515,CN2508572-A,AIR,45/100/300/500/1000,KG,,"Quantity列含非数字值: ""45/100/300/500/1000""",非法数量值，建议置为 NULL
12532,CN2509004-AS,FCL,20'GP/40'GP/40'HQ,KG,,"Quantity列含非数字值: ""20'GP/40'GP/40'HQ""",非法数量值，建议置为 NULL
12533,CN2509004-AS1,LCL,-,KG,,"Quantity列含非数字值: ""-""",非法数量值，建议置为 NULL
12534,CN2509004-AS2,AIR,<10 / <25 / >=25,KG,,"Quantity列含非数字值: ""<10 / <25 / >=25""",非法数量值，建议置为 NULL
12802,CN2509269-S,FCL,40'HQ,2,,"Quantity列含非数字值: ""40'HQ""",可能是箱型代码，应移至 Quantity(Unit) 列
12856,CN2509322-A,AIR,250 / 499,KG,,"Quantity列含非数字值: ""250 / 499""",非法数量值，建议置为 NULL
12881,CN2509345-A,AIR,-,KG,,"Quantity列含非数字值: ""-""",非法数量值，建议置为 NULL
12959,CN2509421-A,AIR,190 / 200,KG,,"Quantity列含非数字值: ""190 / 200""",非法数量值，建议置为 NULL
12977,CN2509439-A,AIR,388 / 1940,KG,,"Quantity列含非数字值: ""388 / 1940""",非法数量值，建议置为 NULL
13520,CN2510248-A,AIR,467/ 932.4,KG,,"Quantity列含非数字值: ""467/ 932.4""",非法数量值，建议置为 NULL
13590,CN2510312-S,FCL,20'RF/40'RF /40'HCRF,,,"Quantity列含非数字值: ""20'RF/40'RF /40'HCRF""",非法数量值，建议置为 NULL
13623,CN2510342-A,AIR,1350 / 1300,KG,,"Quantity列含非数字值: ""1350 / 1300""",非法数量值，建议置为 NULL
13901,CN2510611-S,FCL,20'GP,1.0,,"Quantity列含非数字值: ""20'GP""",可能是箱型代码，应移至 Quantity(Unit) 列
13990,CN2510694-A,AIR,-,KG,,"Quantity列含非数字值: ""-""",非法数量值，建议置为 NULL
