row_num,reference,cargo_ready_date,handling
255,CN2401240-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
257,CN2401242-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
259,CN2401244-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
260,CN2401245-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
263,CN2401248-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
268,CN2401253-R,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
275,CN2401260-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
276,CN2401261-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
277,CN2401262-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
278,CN2401263-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
282,CN2401267-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
284,CN2401269-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
286,CN2401271-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
288,CN2401273-R,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
297,CN2401280-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
298,CN2401281-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
301,CN2401283-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
303,CN2401285-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
305,CN2401287-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
310,CN2401292-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
312,CN2401294-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
314,CN2401296-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
315,CN2401297-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
316,CN2401298-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
317,CN2401299-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
318,CN2401300-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
319,CN2401301-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
320,CN2401302-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
321,CN2401303-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
322,CN2401304-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
323,CN2401305-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
324,CN2401306-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
325,CN2401307-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
326,CN2401308-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
327,CN2401309-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
329,CN2401311-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
330,CN2401312-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
331,CN2401313-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
332,CN2401314-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
333,CN2401315-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
335,CN2401317-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
336,CN2401318-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
338,CN2401320-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
340,CN2401322-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
341,CN2401323-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
343,CN2401325-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
345,CN2401327-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
346,CN2401328-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
347,CN2401329-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
355,CN2401337-RS1,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
356,CN2401337-RS2,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
357,CN2401337-RS3,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
358,CN2401337-RS4,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
359,CN2401338-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
360,CN2401339-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
361,CN2401340-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
362,CN2401341-S1,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
363,CN2401342-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
368,CN2401344-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
370,CN2401346-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
371,CN2401347-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
372,CN2401348-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
373,CN2401349-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
376,CN2401352-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
377,CN2401353-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
378,CN2401354-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
379,CN2401355-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
380,CN2401356-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
381,CN2401357-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
386,CN2401361-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
387,CN2401362-R,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
388,CN2401363-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
389,CN2401364-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
391,CN2401366-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
393,CN2401368-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
394,CN2401369-R,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
395,CN2401370-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
397,CN2401372-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
400,CN2401375-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
401,CN2401376-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
404,CN2401379-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
406,CN2401381-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
409,CN2401384-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
413,CN2401388-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
416,CN2401391-R,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
417,CN2401392-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
418,CN2401393-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
420,CN2401395-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
422,CN2401397-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
423,CN2401398-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
424,CN2401399-A1,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
425,CN2401399-A2,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
426,CN2401399-A3,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
427,CN2401399-A4,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
428,CN2401400-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
429,CN2401401-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
430,CN2401402-R,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
432,CN2401404-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
433,CN2401404-S1,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
435,CN2401406-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
436,CN2401407-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
437,CN2401408-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
438,CN2401409-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
