row_num,reference,unit_raw,quantity,teu,container_codes,resolution,method
3329,CN2406047-S,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
3333,CN2406051-S,20'GP/40'GP,2.0,3,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",exact
3337,CN2406055-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
3338,CN2406056-S,20'GP/40'GP,2.0,3,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",exact
3340,CN2406058-S,20'GP/40'GP,,,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",fallback
3347,CN2406065-S1,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
3348,CN2406065-S2,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
3349,CN2406066-S,20'GP/40'HQ,3.0,5,"20GP,40HQ","[('20GP', 1), ('40HQ', 2)]",exact
3355,CN2406072-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
3358,CN2406075-S1,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
3443,CN2406156-S2,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
3445,CN2406158-S,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
3475,CN2406185-AS1,40'GP/40'HQ,3.0,6,"40GP,40HQ","[('40GP', 2), ('40HQ', 1)]",equal
3482,CN2406192-S,20'GP/40'GP,,,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",fallback
3496,CN2406204-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
3530,CN2406235-S1,40'GP/40'HQ,,,"40GP,40HQ","[('40GP', 1), ('40HQ', 1)]",fallback
3531,CN2406235-S2,40'GP/40'HQ,,,"40GP,40HQ","[('40GP', 1), ('40HQ', 1)]",fallback
3532,CN2406235-S3,40'GP/40'HQ,,,"40GP,40HQ","[('40GP', 1), ('40HQ', 1)]",fallback
3533,CN2406235-S4,40'GP/40'HQ,,,"40GP,40HQ","[('40GP', 1), ('40HQ', 1)]",fallback
3534,CN2406235-S5,40'GP/40'HQ,,,"40GP,40HQ","[('40GP', 1), ('40HQ', 1)]",fallback
3535,CN2406235-S6,40'GP/40'HQ,,,"40GP,40HQ","[('40GP', 1), ('40HQ', 1)]",fallback
3537,CN2406237-S,20'GP/40'HQ,3.0,5,"20GP,40HQ","[('20GP', 1), ('40HQ', 2)]",exact
3560,CN2406258-S,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
3576,CN2406271-S,40'GP/40'HQ,2.0,4,"40GP,40HQ","[('40GP', 1), ('40HQ', 1)]",equal
3621,CN2406311-S,20'GP/40'GP,2.0,3,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",exact
3625,CN2406315-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
3676,CN2406360-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
3677,CN2406361-S,40'GP/40'HQ,,,"40GP,40HQ","[('40GP', 1), ('40HQ', 1)]",fallback
3680,CN2406363-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
3696,CN2406379-S,20'GP/40'GP,,,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",fallback
3728,CN2406410-S,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
3729,CN2406411-S,20'GP/40'GP,,,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",fallback
3730,CN2406412-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
3731,CN2406413-S,20'GP/40'GP,,,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",fallback
3760,CN2406440-S,20'GP/40'GP,2.0,3,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",exact
3762,CN2406442-S,20'GP/40'GP,2.0,3,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",exact
3763,CN2406443-S,20'GP/40'GP,2.0,3,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",exact
3764,CN2406444-S,20'GP/40'GP,2.0,3,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",exact
3765,CN2406445-S,20'GP/40'GP,2.0,3,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",exact
3806,CN2406483-S1,20'GP/40'GP/40'HQ/20 OT/40 OT,,,"20GP,40GP,40HQ,20OT,40OT","[('20GP', 1), ('40GP', 1), ('40HQ', 1), ('20OT', 1), ('40OT', 1)]",fallback
3807,CN2406483-S2,20'GP/40'GP/40'HQ/20 OT/40 OT,,,"20GP,40GP,40HQ,20OT,40OT","[('20GP', 1), ('40GP', 1), ('40HQ', 1), ('20OT', 1), ('40OT', 1)]",fallback
3809,CN2406485-S1,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
3810,CN2406485-S2,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
3824,CN2406499-S1,20'GP/40'GP,,,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",fallback
