CSV原始值,出现次数,对应Reference Number（前5个）,建议操作
PENANG,1,CN2510312-S,请提供正确的港口代码（如CNSHA）以便系统匹配
GDL,1,CN2510446-A,请提供正确的港口代码（如CNSHA）以便系统匹配
"Huangshan,Anhui",1,CN2510493-S,请提供正确的港口代码（如CNSHA）以便系统匹配
"Guangzhou City,510897",1,CN2510530-S,请提供正确的港口代码（如CNSHA）以便系统匹配
"LANGFANG CITY, 065700",1,CN2510546-S,请提供正确的港口代码（如CNSHA）以便系统匹配
"West Zone, TEDA",1,CN2510658-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Zhangqiu City,1,CN2510689-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Pudong New District 201210,1,CN2511053-S,请提供正确的港口代码（如CNSHA）以便系统匹配
SHANGHAI 201107,1,CN2511056-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Huadu District Guangzhou,1,CN2511144-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Guangxi,1,CN2511194-S,请提供正确的港口代码（如CNSHA）以便系统匹配
HUANGDAO DISTRICT QINGDAO,1,CN2511201-S,请提供正确的港口代码（如CNSHA）以便系统匹配
TBS,1,CN2511214-A,请提供正确的港口代码（如CNSHA）以便系统匹配
518103 Shenzhen,1,CN2511243-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Ximen,1,CN2511269-S2,请提供正确的港口代码（如CNSHA）以便系统匹配
361001 Xiamen,1,CN2511346-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Jiangyin city,1,CN2511371-S,请提供正确的港口代码（如CNSHA）以便系统匹配
999077,1,CN2511374-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Bao an district,1,CN2511376-S,请提供正确的港口代码（如CNSHA）以便系统匹配
"YUZHOU, HENAN",1,CN2511380-S,请提供正确的港口代码（如CNSHA）以便系统匹配
JInhua city,1,CN2511404-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Quanzhou 362013,1,CN2511411-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Xinggang,1,CN2511454-S,请提供正确的港口代码（如CNSHA）以便系统匹配
"Longgang District, 518115",1,CN2511580-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Doumen.zhuhai,1,CN2511585-S,请提供正确的港口代码（如CNSHA）以便系统匹配
DONGGUAN CITY 523571,1,CN2511590-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Shaoxing City,1,CN2511613-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Gaomi city,1,CN2512034-S,请提供正确的港口代码（如CNSHA）以便系统匹配
TIANJIN,1,CN2512058-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Longhua District,1,CN2512094-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Nantong City 226236,1,CN2512099-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Shangluo,1,CN2512105-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Jining,1,CN2512158-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Yancheng,1,CN2512182-S,请提供正确的港口代码（如CNSHA）以便系统匹配
PVGXMN,1,CN2512193-AS,请提供正确的港口代码（如CNSHA）以便系统匹配
"Tianjin, 300380",1,CN2512199-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Xiamen 361026,1,CN2512247-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Shanghai City 201815,1,CN2512277-S,请提供正确的港口代码（如CNSHA）以便系统匹配
MENGCHENG ANHUI 233500,1,CN2512292-S,请提供正确的港口代码（如CNSHA）以便系统匹配
LATVIA,1,CN2512309-S,请提供正确的港口代码（如CNSHA）以便系统匹配
"XIAOLANTOWN, ZHONGSHAN CITY",1,CN2512333-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Dongguan 523810,1,CN2512365-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Weihai City 264200,1,CN2512381-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Zhongshan 528467,1,CN2512446-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Jiaxing city,1,CN2512481-S,请提供正确的港口代码（如CNSHA）以便系统匹配
Shenzhen 518115,1,CN2512490-S,请提供正确的港口代码（如CNSHA）以便系统匹配
